Economy,Year,Rank,Overall DTF,Starting a business-Rank,Starting a business-DTF,Starting a Business - Procedure – Men (number),Starting a Business - Time – Men (days),Starting a Business - Cost – Men (% of income per capita),Starting a Business - Procedure – Women (number),Starting a Business - Time – Women (days),Starting a Business - Cost – Women (% of income per capita),Starting a Business - Paid-in min. capital (% of income per capita)
Afghanistan,DB2017,183,38.10,42,92.08,3.0,7.0,19.9,4.0,8.0,19.9,0.0
Afghanistan,DB2016,182,38.42,38,92.19,3.0,7.0,19.0,4.0,8.0,19.0,0.0
Afghanistan,DB2015, ,40.50, ,92.68,3.0,7.0,15.1,4.0,8.0,15.1,0.0
Afghanistan,DB2014, ,40.78, ,93.27,3.0,5.0,14.4,4.0,6.0,14.4,0.0
Afghanistan,DB2013, ,40.20, ,90.28,4.0,7.0,22.5,5.0,8.0,22.5,0.0
Afghanistan,DB2012, ,39.73, ,89.87,4.0,7.0,25.8,5.0,8.0,25.8,0.0
Afghanistan,DB2011, ,37.41, ,89.75,4.0,7.0,26.7,5.0,8.0,26.7,0.0
Afghanistan,DB2010, ,40.14, ,89.32,4.0,7.0,30.2,5.0,8.0,30.2,0.0
Afghanistan,DB2009, , , ,85.16,4.0,9.0,59.5,5.0,10.0,59.5,0.0
Afghanistan,DB2008, , , ,82.01,4.0,9.0,84.6,5.0,10.0,84.6,0.0
Afghanistan,DB2007, , , ,84.17,4.0,9.0,67.4,5.0,10.0,67.4,0.0
Afghanistan,DB2006, , , ,83.19,4.0,9.0,75.2,5.0,10.0,75.2,0.0
Albania,DB2017,58,68.90,46,91.73,5.0,5.0,10.1,5.0,5.0,10.1,0.0
Albania,DB2016,90,61.30,42,91.69,5.0,5.0,10.3,5.0,5.0,10.3,0.0
Albania,DB2015, ,66.56, ,91.73,5.0,5.0,10.1,5.0,5.0,10.1,0.0
Albania,DB2014, ,59.53, ,90.34,5.0,5.0,21.2,5.0,5.0,21.2,0.0
Albania,DB2013, ,59.06, ,90.19,5.0,5.0,22.4,5.0,5.0,22.4,0.0
Albania,DB2012, ,58.83, ,87.60,6.0,6.0,29.3,6.0,6.0,29.3,0.0
Albania,DB2011, ,62.09, ,87.29,6.0,6.0,31.8,6.0,6.0,31.8,0.0
Albania,DB2010, ,61.92, ,87.24,6.0,6.0,32.2,6.0,6.0,32.2,0.0
Albania,DB2009, , , ,82.00,8.0,10.0,42.5,8.0,10.0,42.5,0.0
Albania,DB2008, , , ,68.21,11.0,37.0,46.1,11.0,37.0,46.1,34.3
Albania,DB2007, , , ,69.04,12.0,39.0,22.5,12.0,39.0,22.5,36.7
Albania,DB2006, , , ,67.25,12.0,41.0,31.3,12.0,41.0,31.3,39.9
Algeria,DB2017,156,47.76,142,77.54,12.0,20.0,11.1,12.0,20.0,11.1,0.0
Algeria,DB2016,163,45.88,145,76.08,12.0,20.0,10.9,12.0,20.0,10.9,23.6
Algeria,DB2015, ,45.57, ,74.07,13.0,22.0,11.0,13.0,22.0,11.0,24.1
Algeria,DB2014, ,50.83, ,73.11,13.0,24.0,12.4,13.0,24.0,12.4,28.6
Algeria,DB2013, ,51.16, ,73.24,13.0,24.0,12.1,13.0,24.0,12.1,27.2
Algeria,DB2012, ,50.90, ,73.03,13.0,24.0,12.1,13.0,24.0,12.1,30.6
Algeria,DB2011, ,50.70, ,72.68,13.0,24.0,12.9,13.0,24.0,12.9,34.4
Algeria,DB2010, ,50.96, ,73.00,13.0,24.0,12.1,13.0,24.0,12.1,31.0
Algeria,DB2009, , , ,72.82,13.0,24.0,10.8,13.0,24.0,10.8,36.6
Algeria,DB2008, , , ,71.98,13.0,24.0,13.2,13.0,24.0,13.2,45.2
Algeria,DB2007, , , ,71.90,13.0,24.0,13.4,13.0,24.0,13.4,46.0
